Cultivar,Lineage,Time,Repetition,Dispersion Rate,Survival
WS,Sus,6,1,0.5833,0.8
WS,Sus,6,2,0.1429,0.9333
WS,Sus,6,3,0.5,1.0
WS,Sus,6,4,0.4,0.6667
WS,Sus,12,1,0.5455,0.5867
WS,Sus,12,2,0.5556,0.56
WS,Sus,12,3,0.5385,0.9244
WS,Sus,12,4,0.5455,0.4889
WS,Sus,18,1,0.7143,0.3422
WS,Sus,18,2,0.5455,0.44
WS,Sus,18,3,0.8889,0.52
WS,Sus,18,4,0.6667,0.2933
WS,Sus,24,1,0.6667,0.1867
WS,Sus,24,2,0.4,0.2444
WS,Sus,24,3,0.6,0.2
WS,Sus,24,4,0.5,0.1067
NBT,Sus,6,1,0.0,0.8667
NBT,Sus,6,2,0.5,0.9333
NBT,Sus,6,3,0.125,1.0
NBT,Sus,6,4,0.5625,1.0
NBT,Sus,12,1,0.2308,0.7511
NBT,Sus,12,2,0.2308,0.8089
NBT,Sus,12,3,0.1333,1.0
NBT,Sus,12,4,0.5,0.4
NBT,Sus,18,1,0.6429,0.8089
NBT,Sus,18,2,0.9,0.5778
NBT,Sus,18,3,0.4615,0.8667
NBT,Sus,18,4,0.5,0.32
NBT,Sus,24,1,0.4286,0.8711
NBT,Sus,24,2,0.6667,0.1333
NBT,Sus,24,3,0.4,0.5778
NBT,Sus,24,4,0.5,0.4267
WS,Res,6,1,0.5556,0.6
WS,Res,6,2,0.1111,0.6
WS,Res,6,3,0.3571,0.9333
WS,Res,6,4,0.4167,0.8
WS,Res,12,1,0.2308,0.52
WS,Res,12,2,0.3333,0.6
WS,Res,12,3,0.75,0.2489
WS,Res,12,4,0.3636,0.5867
WS,Res,18,1,0.4,0.5778
WS,Res,18,2,0.1111,0.6
WS,Res,18,3,0.3636,0.1956
WS,Res,18,4,0.3077,0.6356
WS,Res,24,1,0.1538,0.5778
WS,Res,24,2,0.0,0.4
WS,Res,24,3,0.0,0.44
WS,Res,24,4,0.5556,0.52
NBT,Res,6,1,0.2308,0.8667
NBT,Res,6,2,0.3846,0.8667
NBT,Res,6,3,0.5,0.5333
NBT,Res,6,4,0.4167,0.8
NBT,Res,12,1,0.3333,0.6933
NBT,Res,12,2,0.2727,0.6356
NBT,Res,12,3,0.1667,0.4267
NBT,Res,12,4,0.2857,0.7467
NBT,Res,18,1,0.25,0.4267
NBT,Res,18,2,0.2727,0.5378
NBT,Res,18,3,0.0,0.6933
NBT,Res,18,4,0.2308,0.8089
NBT,Res,24,1,0.0,0.4978
NBT,Res,24,2,0.6667,0.2933
NBT,Res,24,3,0.5714,0.8089
NBT,Res,24,4,0.1818,0.6356
